Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,20250225_Lipids_Blank_pos_03,20250225_Lipids_Blank_pos_04,20250225_Lipids_LC_pos_01,20250225_Lipids_LC_pos_02,20250225_Lipids_LC_pos_03,20250225_Lipids_LC_pos_04,20250225_Lipids_LC_pos_05,20250225_Lipids_LC_pos_06,20250225_Lipids_LC_pos_07,20250225_Lipids_LC_pos_08,20250225_Lipids_LC_pos_09,20250225_Lipids_LC_pos_10,20250225_Lipids_LC_pos_11,20250225_Lipids_LC_pos_12,20250225_Lipids_LC_pos_13,20250225_Lipids_LC_pos_14
0,1.543,200.23738,Unknown,[M+H]+,null,0.38,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,0,0,0,null,null,null,null,null,null,null,135.6,20250225_Lipids_LC_pos_01,200.23734:124721 201.24200:18214 202.24667:8968,52.91543:4090 54.59634:4361 57.06968:249642 71.08529:123336 85.10091:53591 92.57906:3764 122.06085:3837 148.28551:3919 200.23717:16445,0,0,1750145,703702,0,0,0,869952,875305,1905182,0,0,0,29243,27684,227941
1,0.896,202.08626,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,1,0,0,null,null,null,null,null,null,null,6.87,20250225_Lipids_LC_pos_06,202.08626:20497 203.09093:0 204.09559:21007,null,10976,12078,0,9653,0,55938,65868,124506,95831,57527,0,0,0,8389,49023,3799
2,5.661,202.08647,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,2,0,0,null,null,null,null,null,null,null,8.63,20250225_Lipids_LC_pos_13,202.08647:15278 203.09114:0 204.09581:0,null,6801,11471,9848,0,12352,4914,8390,4796,9745,9350,0,0,3954,0,39957,0
3,0.927,202.12262,Unknown,[M+H]+,null,0.19,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,3,0,0,null,null,null,null,null,null,null,130.72,20250225_Lipids_LC_pos_03,202.12262:635435 203.12729:96911 204.13196:0,57.05081:3870 58.86980:4041 102.09097:10696 160.07558:5461 182.65102:3816 202.12216:45795,0,0,19571,0,3419054,3496363,639280,6789,0,0,535479,146015,1194829,4044,0,0
4,0.9,202.18025,Unknown,[M+H]+,null,0.5,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,4,0,0,null,null,null,null,null,null,null,75.78,20250225_Lipids_LC_pos_02,202.18031:421714 203.18498:89213 204.18965:0,56.17618:4061 61.70492:3633 62.05983:18246 71.59062:3921 77.02756:3609 102.09116:55394 118.14262:3963 147.06636:3999 163.78345:4069 201.40558:5211 202.17996:15215,54583,67797,1987257,1892335,175023,771153,104932,446626,454118,827568,0,0,0,803174,900955,758508
5,1.002,202.2166,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,5,0,0,null,null,null,null,null,null,null,16.01,20250225_Lipids_LC_pos_12,202.21660:42787 203.22127:0 204.22593:0,null,0,0,0,0,0,0,3803,2741,0,0,0,0,0,114070,20329,4799
6,1.248,202.2168,Unknown,[M+H]+,null,0.19,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6,0,0,null,null,null,null,null,null,null,37.52,20250225_Lipids_LC_pos_01,202.21680:25711 203.22146:0 204.22613:0,null,0,0,179069,152875,0,0,0,48224,55324,48820,0,0,80609,38831,44522,20097
7,12.306,203.0511,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,7,0,0,null,null,null,null,null,null,null,4.76,20250225_Lipids_LC_pos_08,203.05110:84395 204.05577:0 205.06044:0,null,0,0,0,0,0,0,0,0,0,64708,0,0,2115,0,0,0
8,3.027,204.08765,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,8,0,0,null,null,null,null,null,null,null,13.01,20250225_Lipids_LC_pos_13,204.08765:41006 205.09231:2473 206.09698:5455,null,18951,12984,16658,76172,40551,41672,16698,44142,25723,65629,32763,474457,115897,116591,539332,68573
9,11.913,204.10193,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,9,0,0,null,null,null,null,null,null,null,2.88,20250225_Lipids_LC_pos_03,204.10193:21073 205.10660:0 206.11126:19636,null,65235,64909,32268,55319,54200,14240,28069,0,0,0,8825,29119,11889,15371,6869,0
