formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
2	C21H41N5O6	[M + H]+	C21H42N5O6+	Amino acids and Peptides	0,453	Small peptides	0,331	Tripeptides	0,151	Organic acids and derivatives	0,756	Carboxylic acids and derivatives	0,653	Amino acids, peptides, and analogues	0,662	Amino acids and derivatives	0,643	Alpha amino acids and derivatives	0,543	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460,312	36	0,597	692040703039505527	692039807987538143	4635	
1	C23H45N5O7	[M + H]+	C23H46N5O7+	Amino acids and Peptides	0,817	Oligopeptides	0,862	Cyclic peptides	0,442	Organic acids and derivatives	0,899	Carboxylic acids and derivatives	0,815	Carboxylic acid derivatives	0,749	Carboxylic acid amides	0,796	Secondary carboxylic acid amides	0,551	Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	504,338	39	0,652	692040692243362398	692039835825137823	5669	
1	C27H44O7	[M + H]+	C27H45O7+	Terpenoids	0,744	Steroids	0,274	Cardenolides	0,169	Lipids and lipid-like molecules	0,614							Lipids and lipid-like molecules	0,614	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dialkyl ethers; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	481,317	40	0,674	692040707326085089	692039822189453563	5168	
5	C36H36ClN7O3	[M + H]+	C36H37ClN7O3+	Alkaloids	0,655	Pseudoalkaloids (transamidation)	0,066	Purine alkaloids	0,055	Benzenoids	0,983	Phenol ethers	0,675					Phenol ethers	0,675	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Piperazines; Ethers; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Organochlorides; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Diazinanes; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Aryl halides; N-alkylpiperazines; Aralkylamines; Dialkylarylamines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	650,262	43	0,722	692040695099684624	692039926610862811	9462	
4	C17H19BrO5S	[M + H]+	C17H20BrO5S+	Shikimates and Phenylpropanoids	0,363	Sesquiterpenoids	0,319	Chalcones	0,016	Benzenoids	0,955	Benzene and substituted derivatives	0,880	Benzenesulfonyl compounds	0,822			Benzenesulfonyl compounds	0,822	Organic compounds; Organosulfur compounds; Halobenzenes; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Sulfones; Aryl bromides; Bromobenzenes; Sulfonyls; Dialkyl ethers; Organobromides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic oxygen compounds; Chemical entities	415,019	45	0,742	692040701835739719	692039780116383575	3493	
1	C13H12N2O4	[M + H]+	C13H13N2O4+	Alkaloids	0,409	Small peptides	0,068	Simple coumarins	0,046	Benzenoids	0,895	Benzene and substituted derivatives	0,713					Benzene and substituted derivatives	0,713	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261,087	45	0,742	692040707233810358	692039699644455495	599	
1	C10H8N2O3	[M + H]+	C10H9N2O3+	Alkaloids	0,953	Anthranilic acid alkaloids	0,992	Phenazine alkaloids	0,917	Organoheterocyclic compounds	0,982	Diazanaphthalenes	0,942	Benzodiazines	0,948	Quinoxalines	0,903	Quinoxalines	0,903	Organic compounds; Organoheterocyclic compounds; Pyrazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Quinoxalines; Monocarboxylic acids and derivatives; Carboxylic acids; Diazines; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Diazanaphthalenes; Benzodiazines; Chemical entities	205,061	45	0,743	692040694390846968	692039677024571707	17	
1	C33H60O22	[M + H]+	C33H61O22+	Fatty acids	0,690	Fatty acyls	0,506	Fatty acyl glycosides of mono- and disaccharides	0,159	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Carbohydrates and carbohydrate conjugates	0,992	Glycosyl compounds	0,846	O-glycosyl compounds	0,851	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	809,362	45	0,752	692040698606124343	692040033032955327	13802	
2	C43H56N4O13	[M + H]+	C43H57N4O13+	Polyketides	0,764	Macrolides	0,816	Ansa macrolides	0,277	Organic acids and derivatives	0,992	Carboxylic acids and derivatives	0,970	Amino acids, peptides, and analogues	0,661	Amino acids and derivatives	0,654	Amino acids and derivatives	0,654	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	837,394	45	0,752	692040694965466800	692040049503990007	14525	
1	C12H10N2O3	[M + H]+	C12H11N2O3+	Alkaloids	0,834	Small peptides	0,515	Carboline alkaloids	0,320	Organic acids and derivatives	0,958	Carboxylic acids and derivatives	0,933	Amino acids, peptides, and analogues	0,489	Amino acids and derivatives	0,487	Alpha amino acids and derivatives	0,566	Organic compounds; Organoheterocyclic compounds; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231,077	45	0,753	692040703949669797	692039686147183695	214	
