structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	2	0,004	0,004	-301,609		0,046	33,950	C21H41N5O6	[M + H]+	C21H42N5O6+	AUCTUBCZOMSCFH	InChI=1S/C21H41N5O6/c1-6-12(4)16(25-18(28)14(23)9-7-8-10-22)19(29)26-17(13(5)27)20(30)24-15(11(2)3)21(31)32/h11-17,27H,6-10,22-23H2,1-5H3,(H,24,30)(H,25,28)(H,26,29)(H,31,32)	H-DL-Lys-DL-xiIle-DL-xiThr-DL-Val-OH	CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCCN)N	-0,569	18306206	PUBCHEM:(18306206)	2	460,312	36	0,597	692040703039505527	692039807987538143	4635	
1	1	0,005	0,005	-325,215		1,000	43,231	C23H45N5O7	[M + H]+	C23H46N5O7+	ACBPQIGGPJVQTE	InChI=1S/C23H45N5O7/c1-6-8-10-25-20(30)33-16-14-28(15-17-34-21(31)26-11-9-7-2)13-12-24-19(29)18-27-22(32)35-23(3,4)5/h6-18H2,1-5H3,(H,24,29)(H,25,30)(H,26,31)(H,27,32)	tert-butyl N-[2-[2-[bis[2-(butylcarbamoyloxy)ethyl]amino]ethylamino]-2-oxoethyl]carbamate	CCCCNC(=O)OCCN(CCNC(=O)CNC(=O)OC(C)(C)C)CCOC(=O)NCCCC	2,300	15734760	PUBCHEM:(15734760)	2	504,338	39	0,652	692040692243362398	692039835825137823	5669	
1	1	0,097	0,097	-285,607		0,909	19,909	C27H44O7	[M + H]+	C27H45O7+	NKDFYOWSKOHCCO	InChI=1S/C27H44O7/c1-23(2,32)9-8-22(31)26(5,33)21-7-11-27(34)16-12-18(28)17-13-19(29)20(30)14-24(17,3)15(16)6-10-25(21,27)4/h12,15,17,19-22,29-34H,6-11,13-14H2,1-5H3	Ecdysterone	CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O	0,500	118701161;118856476;21590111;21590113;134402098;124512252;124897994;124903268;124903269;124903270;124903271;124904288;124904289;124904290;124904291;67710993;51650479;51690439;6708786;20831660;53298401;5316023;5316997;5459151;5459840;16395231;16401465;154085932;129668839;163807315;163898140;69718063;137950308;7118526;124303823;124484335;102332533;101778163;162880586;162880587;162880588;162880589;162880590;162880591;162880592;162880593;162880594;125462799;66509028;40922395;146159104;16757637;70679502;70686927;3032482;25421098;25421101;10457883;129010434;129316840;71773515;54115615;54115616;54115617;18394232;44658312;132005456;11081347;11123671;68490880;11386092;45107113;139291981;10767085;21362;130386175;25565820;25565823;25565830;271605;25749233;439770;12304164;12304165;12304169;27545171;27545172;11784921;57001583;44143979;44231239;44231358;44231483;57368337;73755764;138107217;143863218;57988720	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0030180 HMDB0242587);TeroMol:(TKC206750 TKC206178 TKC206174 TKC206175 TKC206179 TKC206176 TKC112604 TKC206177);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5459840 21362 118701161 3032482 25749233 20831660 5459151 439770 101778163 271605 12304165 6708786 129316840 69718063 11123671 11081347 11386092);LIPIDMAPS:(LMST01010209);SUPERNATURAL:(SN0247760);MESH:(271605 439770 5459151 5459840 11081347 11123671 12304165 44143979 101778163 118701161);FooDB:(FDB001996);PUBCHEM:(118701161 118856476 21590111 21590113 134402098 124512252 124897994 124903268 124903269 124903270 124903271 124904288 124904289 124904290 124904291 67710993 51650479 51690439 6708786 20831660 53298401 5316023 5316997 5459151 5459840 16395231 16401465 154085932 129668839 163807315 163898140 69718063 137950308 7118526 124303823 124484335 102332533 101778163 162880586 162880587 162880588 162880589 162880590 162880591 162880592 162880593 162880594 125462799 66509028 40922395 146159104 16757637 70679502 70686927 3032482 25421098 25421101 10457883 129010434 129316840 71773515 54115615 54115616 54115617 18394232 44658312 132005456 11081347 11123671 68490880 11386092 45107113 139291981 10767085 21362 130386175 25565820 25565823 25565830 271605 25749233 439770 12304164 12304165 12304169 27545171 27545172 11784921 57001583 44143979 44231239 44231358 44231483 57368337 73755764 138107217 143863218 57988720);GNPS:(CCMSLIB00000845171 CCMSLIB00000848640);COCONUT:(CNP0146238);NORMAN:(NS00097285);METACYC:(CPD-276);CHEBI:(183878 16587 182914);KEGG:(C02633);DSSTox:(DTXSID301156827 DTXSID5040388);LOTUS:(Q105180477 Q105180474 Q105180521 Q423338 Q105180494 Q105180481 Q105180499 Q105180497 Q105180480 Q105180482 Q105180479 Q105180500 Q105180498 Q105180520);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NKDFYOWSKOHCCO-UHFFFAOYSA-N)	140525181310	481,317	40	0,674	692040707326085089	692039822189453563	5168	
1	5	0,013	0,013	-325,341		0,086	6,635	C36H36ClN7O3	[M + H]+	C36H37ClN7O3+	PNHHQNKQQVYIRL	InChI=1S/C36H36ClN7O3/c1-21-26(7-5-9-28(21)41-35(45)34-40-30-20-42(2)13-11-31(30)43(34)3)27-8-4-6-23(32(27)37)15-29-33-24(10-12-38-29)14-22(16-39-33)17-44-18-25(19-44)36(46)47/h4-10,12,14,16,25H,11,13,15,17-20H2,1-3H3,(H,41,45)(H,46,47)	1-[[8-[[2-chloro-3-[3-[(1,5-dimethyl-6,7-dihydro-4H-imidazo[4,5-c]pyridine-2-carbonyl)amino]-2-methylphenyl]phenyl]methyl]-1,7-naphthyridin-3-yl]methyl]azetidine-3-carboxylic acid	CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)C)C4=CC=CC(=C4Cl)CC5=NC=CC6=CC(=CN=C65)CN7CC(C7)C(=O)O	1,800	160254458	PUBCHEM:(160254458)	2	650,262	43	0,722	692040695099684624	692039926610862811	9462	
1	4	0,041	0,041	-178,100		0,049	17,994	C17H19BrO5S	[M + H]+	C17H20BrO5S+	ZWMSLMLIOFDBKR	InChI=1S/C17H19BrO5S/c1-14-5-7-17(8-6-14)24(19,20)23-12-10-21-9-11-22-16-4-2-3-15(18)13-16/h2-8,13H,9-12H2,1H3	2-[2-(3-Bromophenoxy)ethoxy]ethyl 4-methylbenzenesulfonate	CC1=CC=C(C=C1)S(=O)(=O)OCCOCCOC2=CC(=CC=C2)Br	3,800	154634634	PUBCHEM:(154634634)	2	415,019	45	0,742	692040701835739719	692039780116383575	3493	
1	1	0,097	0,097	-154,398		0,997	22,881	C13H12N2O4	[M + H]+	C13H13N2O4+	WPRVARLGPHWGHB	InChI=1S/C13H12N2O4/c1-9-8-11(4-7-15(9)13(18)19)10-2-5-14(6-3-10)12(16)17/h2-8H,1H3,(H,16,17)(H,18,19)	4-(1-Carboxypyridin-4-ylidene)-2-methylpyridine-1-carboxylic acid	CC1=CC(=C2C=CN(C=C2)C(=O)O)C=CN1C(=O)O	0,700	118020836	PUBCHEM:(118020836)	2	261,087	45	0,742	692040707233810358	692039699644455495	599	
1	1	0,378	0,378	-67,610		1,000	46,680	C10H8N2O3	[M + H]+	C10H9N2O3+	YFIBGUQZEPGFHW	InChI=1S/C10H8N2O3/c13-9-5-11-7-3-1-2-4-8(7)12(9)6-10(14)15/h1-5H,6H2,(H,14,15)	2-(2-Oxoquinoxalin-1-yl)acetate	C1=CC=C2C(=C1)N=CC(=O)N2CC(=O)O	0,598	2512756;2512757	PUBCHEM:(2512756 2512757);DSSTox:(DTXSID60368855);PUBMED:(null)	137438953538	205,061	45	0,743	692040694390846968	692039677024571707	17	
1	1	0,119	0,119	-165,436		0,337	12,867	C33H60O22	[M + H]+	C33H61O22+	BSTRZJBPULUFOX	InChI=1S/C33H60O22/c1-2-3-44-4-5-45-6-7-46-8-9-47-10-11-48-12-13-49-14-15-50-31-27(42)24(39)29(20(17-35)52-31)55-33-28(43)25(40)30(21(18-36)53-33)54-32-26(41)23(38)22(37)19(16-34)51-32/h2,19-43H,1,3-18H2	2-[(6-{[6-(3,6,9,12,15,18-hexaoxahenicos-20-en-1-yloxy)-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy}-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl)oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	C=CCOCCOCCOCCOCCOCCOCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O)O)O	-6,600	67539512;67539513;59391587;89041361;89045562;72286015	COCONUT:(CNP0344583);SUPERNATURAL:(SN0034459);PUBCHEM:(67539512 67539513 59391587 89041361 89045562 72286015)	3145730	809,362	45	0,752	692040698606124343	692040033032955327	13802	
1	2	0,141	0,141	-464,353		0,044	10,904	C43H56N4O13	[M + H]+	C43H57N4O13+	HUEAGTQEAYPEQG	InChI=1S/C43H56N4O13/c1-21-11-10-12-22(2)42(55)46-33-28(19-44-45-20-47-14-17-57-18-15-47)37(52)30-31(38(33)53)36(51)26(6)40-32(30)41(54)43(8,60-40)58-16-13-29(56-9)23(3)39(59-27(7)48)25(5)35(50)24(4)34(21)49/h10-13,16,19-21,23-25,29,34-35,39,49-53H,14-15,17-18H2,1-9H3,(H,46,55)	(2S,16S,17S,18R,19R,20R,21S,22R,23S)-5,6,9,17,19-Pentahydroxy-23-methoxy-2,4,12,16,18,20,22-heptamethyl-8-{(E)-[(2E)-(4-morpholinylmethylene)hydrazono]methyl}-1,11-dioxo-1,2-dihydro-2,7-(epoxy[1,11,13]pentadecatrienoimino)naphtho[2,1-b]furan-21-yl acetate	CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN=CN5CCOCC5)C	4,300	135459673;135666363;135853470	PUBCHEM:(135459673 135666363 135853470);PUBMED:(null)	66	837,394	45	0,752	692040694965466800	692040049503990007	14525	
1	1	0,011	0,011	-196,093		1,000	57,483	C12H10N2O3	[M + H]+	C12H11N2O3+	VNZXHSAROQBTIZ	InChI=1S/C12H10N2O3/c15-12(16)10-2-1-3-11(6-10)14-5-4-9(8-14)7-13-17/h1-8,17H,(H,15,16)	3-[3-(Hydroxyiminomethyl)pyrrol-1-yl]benzoic acid	C1=CC(=CC(=C1)N2C=CC(=C2)C=NO)C(=O)O	1,600	140968847;88404286	PUBCHEM:(140968847 88404286)	2	231,077	45	0,753	692040703949669797	692039686147183695	214	
